realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
312.1411665,Private room,FALSE,TRUE,2,TRUE,1,0,10,93,1,0.290728499,0.461055113,576.4186989,30.52175311,827.7768212,57.68067984,4.89491,52.3756
368.6171584,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,97,1,1.669229509,1.495275248,212.053153,11.22835535,276.0947776,19.23868132,4.88313,52.38694
782.4619783,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,96,1,1.733337129,0.350025971,1502.553669,79.56121514,537.9410389,37.48450554,4.89134,52.35769
344.245776,Private room,FALSE,TRUE,2,TRUE,0,0,10,96,1,1.939911049,1.920138777,230.9735367,12.23020224,289.4654958,20.17037221,4.86465,52.37233
430.248635,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,98,1,3.091231737,0.521007262,200.063537,10.59349722,251.5092884,17.52552907,4.88835,52.3456
940.1729431,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,96,3,7.996882958,0.771615235,56.75891045,3.005422022,70.82691489,4.93532133,4.98295,52.32698
325.4985588,Private room,FALSE,TRUE,2,TRUE,1,0,9,94,2,2.138970371,0.388732405,176.2906753,9.334708397,214.4207218,14.94114439,4.91646,52.38609
841.9843929,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,98,3,1.331917688,1.210672039,362.3768484,19.1880949,478.4224824,33.33716689,4.87615,52.36726
309.7977644,Private room,FALSE,TRUE,2,TRUE,1,0,10,94,0,1.171410531,1.01606207,279.3391559,14.79119391,385.7987247,26.88301019,4.88732,52.38315
399.3157266,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,96,1,3.543162987,2.427781544,121.3451824,6.425308036,155.545021,10.83860085,4.94334,52.36495
953.7646756,Private room,FALSE,TRUE,4,FALSE,0,0,9,93,1,2.105918907,1.953864784,176.1171173,9.325518384,227.9125474,15.8812742,4.87776,52.38967
504.0658027,Private room,FALSE,TRUE,2,FALSE,0,0,10,93,1,0.353720534,0.31486878,692.1044894,36.64739258,800.2855337,55.76504738,4.89792,52.37442
264.1014224,Private room,FALSE,TRUE,4,FALSE,0,1,9,86,1,5.906416112,3.882222537,73.04891983,3.867988843,91.39365158,6.368441132,4.97807,52.36259
332.0600848,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,3.657749525,0.462971595,162.6690483,8.613434191,191.7940472,13.36448514,4.872,52.343
332.0600848,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,3.657732076,0.462993937,162.6702077,8.613495583,191.795079,13.36455704,4.872,52.343
218.8737609,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,5.21197104,3.236320322,76.17521085,4.033528029,95.24244323,6.636630472,4.89537,52.42006
356.4314672,Private room,FALSE,TRUE,2,TRUE,0,0,10,95,1,0.443551855,0.552573532,659.2415234,34.9072767,656.9744114,45.77892219,4.88697,52.37458
491.6457713,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,95,1,2.12505781,0.563690691,218.6088528,11.57548401,271.8289855,18.94143479,4.91579,52.36012
454.8543576,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,99,2,5.628886542,1.618489355,90.28706878,4.780760283,111.4548915,7.766337195,4.8972,52.3227
329.4823425,Private room,FALSE,TRUE,2,TRUE,1,0,10,96,0,0.98237786,0.850792707,315.8822572,16.72617541,473.9795589,33.02757759,4.88874,52.38165
702.7863052,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,94,1,0.416242312,0.446042749,598.8965094,31.71196811,688.9769972,48.00890841,4.887,52.373
307.220022,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,9,94,1,2.727743775,0.983702838,167.9171177,8.891322954,217.3868815,15.14783067,4.92493,52.35835
230.8251119,Private room,FALSE,TRUE,2,FALSE,1,0,9,89,1,2.993232558,2.23044325,139.6365201,7.393846519,174.4653619,12.15699743,4.93685,52.37062
504.0658027,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,97,1,2.745901147,1.178569775,152.9104911,8.096712103,194.5620197,13.55736145,4.85506,52.38143
209.0314719,Private room,FALSE,TRUE,2,FALSE,0,0,8,100,1,3.323573133,1.404252323,170.1680446,9.010511029,243.3117866,16.95431535,4.85497,52.35459
442.6686664,Private room,FALSE,TRUE,2,FALSE,1,0,10,93,1,0.589522255,0.056793411,522.4858235,27.66597152,628.6562779,43.80567391,4.90148,52.3719
334.1691468,Private room,FALSE,TRUE,2,TRUE,0,0,10,100,1,2.599148388,1.461104311,185.486301,9.821622885,230.2792514,16.04618955,4.85572,52.36851
1148.735735,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,96,2,2.141165672,0.581528732,259.9110581,13.76246322,340.3709217,23.71753552,4.90287,52.35494
1167.248612,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,98,3,3.999605632,2.886141869,104.5786628,5.537509683,130.9724081,9.126345832,4.95183,52.37263
288.707145,Private room,FALSE,TRUE,3,TRUE,0,0,10,98,1,5.067983425,2.809518516,78.08174285,4.134480166,97.59237694,6.800377233,4.90144,52.4185
184.4257493,Private room,FALSE,TRUE,2,FALSE,0,1,9,88,1,5.618298714,1.483404136,71.45149031,3.783403888,88.49370431,6.166368634,4.946,52.412
372.3666018,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,90,1,1.88670317,1.954712544,208.5793727,11.04441637,261.5680331,18.22643687,4.8694,52.38202
640.4518079,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,93,1,2.157557644,0.193785754,387.3668671,20.511333,438.1209429,30.52889764,4.88783,52.35411
304.8766199,Private room,FALSE,TRUE,4,FALSE,0,1,8,85,1,5.836761322,3.929398124,73.82890554,3.909289604,92.34418587,6.434675729,4.97723,52.36321
313.3128676,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,95,1,2.050311534,1.789456976,212.5879212,11.25667168,264.0115009,18.39670122,4.86306,52.37449
209.0314719,Shared room,TRUE,FALSE,2,FALSE,0,0,9,94,1,1.994462319,1.801098938,192.7319029,10.20528232,253.3872215,17.65638615,4.871,52.385
475.4762965,Private room,FALSE,TRUE,2,TRUE,1,0,10,96,1,0.506577138,0.300080194,504.6178305,26.71984942,728.2656305,50.74659691,4.89523,52.36887
546.7157219,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,9,96,1,1.899645293,1.635648971,188.6866738,9.991084749,246.1208812,17.1500571,4.88422,52.38942
227.3100087,Private room,FALSE,TRUE,2,TRUE,0,0,10,92,1,3.036183142,0.537866931,192.8577832,10.21194777,253.219237,17.64468075,4.896,52.346
749.420008,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,93,1,1.062620818,0.929788716,408.9118154,21.65215233,556.8432336,38.80163766,4.8802,52.36786
310.7351253,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,90,1,2.273428572,2.002177506,231.6524132,12.2661492,283.2204465,19.73520819,4.86228,52.36538
431.420336,Private room,FALSE,TRUE,2,TRUE,1,0,10,96,1,0.447804628,0.260824917,515.6599439,27.30453666,720.4876392,50.20461528,4.89556,52.3695
275.3497528,Private room,FALSE,TRUE,2,FALSE,0,0,9,87,1,6.645303507,2.538554702,69.69068929,3.690168304,86.59848627,6.034307114,4.79735,52.36172
261.7580203,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,3.221550516,0.803898123,131.6602919,6.97149994,167.2463074,11.65396332,4.84847,52.38285
196.6114405,Private room,FALSE,TRUE,2,FALSE,1,0,8,84,1,10.96723627,1.819239842,41.27584675,2.185583511,51.29423178,3.574255869,5.01077,52.30598
1474.937314,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,98,2,1.089158355,0.562218685,483.6306139,25.60856235,840.4201634,58.56168612,4.88559,52.36459
293.6282896,Private room,FALSE,TRUE,3,FALSE,1,0,8,86,0,2.183173789,1.903780517,247.0689368,13.08246437,300.0081186,20.90499733,4.864,52.365
497.7386169,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,91,1,2.924101844,0.511889674,173.0818307,9.164797943,225.7634715,15.7315235,4.91302,52.34995
312.1411665,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,1.870843264,0.714510424,311.6696002,16.50311242,407.2364767,28.37682359,4.90015,52.35698
280.0365571,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,2.072137184,0.57032251,300.3081339,15.90151523,373.0783054,25.99663308,4.89865,52.35492
675.6028402,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,2.41446134,0.405056224,266.7821211,14.12629057,351.7500345,24.51044848,4.89549,52.35158
682.1643662,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,92,2,2.30258713,0.126626191,325.420979,17.23125707,409.0048869,28.50004896,4.88956,52.35265
946.0314485,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,9,94,2,1.117509096,1.008999988,390.424899,20.67325782,520.6718367,36.28116269,4.87854,52.3686
192.861997,Private room,FALSE,TRUE,2,FALSE,1,0,9,94,1,7.385804977,3.696267241,59.20603604,3.134998948,75.2828602,5.24581801,4.99774,52.3558
538.2794741,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,95,1,3.073568008,1.58239456,203.7902914,10.79083134,236.2845814,16.46464958,4.86335,52.35246
1576.640967,Entire home/apt,FALSE,FALSE,6,TRUE,1,0,10,100,3,1.67800141,1.749884397,242.8226369,12.85761997,296.5605864,20.66476833,4.86982,52.37818
439.8565838,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,9,97,1,2.256485799,1.694749966,203.8597672,10.79451013,262.9449617,18.32238324,4.8601,52.37139
658.7303447,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,8,88,2,3.525893589,1.148050785,154.8301668,8.198360211,199.0050076,13.86695524,4.85107,52.35473
218.8737609,Private room,FALSE,TRUE,2,TRUE,0,0,10,96,1,3.050917389,1.453161314,181.1588879,9.592483487,229.9989346,16.02665666,4.85508,52.35873
921.6600661,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,100,2,3.586307748,0.856009791,139.3776976,7.380141696,172.4729167,12.01816098,4.84374,52.362
